,,,,,,,,,,,,,,,,,,,,,,
Job Cost Analysis JTD,,,,,,,,,,,,,,,,"Wednesday, July 6, 2022",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:56:29 AM,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Holmes NZ LP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Job-to-Date through 30/06/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Regular
Hours",,Billing,,,,,,,,,,,,
Project Number: 137454.33 Highgate Bridge Design,,,,,,,,,,,,,,,,,,,,,,
Phase Number: 001 Proposal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour,,,,,,,,,,,,,,,,,,,,,,
ENGIN Engineering,,,,,,,,,,,,,,,,,,,,,,
" * F      BJD  Davidson, Blair    05/08/2020 ",,,,,,,,2.00,,550.00,,,,,,,,,,,,
Proposal,,,,,,,,,,,,,,,,,,,,,,
" * F      BJD  Davidson, Blair    12/08/2020 ",,,,,,,,2.00,,550.00,,,,,,,,,,,,
variation proposal and mtg,,,,,,,,,,,,,,,,,,,,,,
" * F      BJD  Davidson, Blair    02/09/2020 ",,,,,,,,.50,,137.50,,,,,,,,,,,,
discuss geotech with Hunter,,,,,,,,,,,,,,,,,,,,,,
Total for BJD,,,,,,,,4.50,,"1,237.50",,,,,,,,,,,,
" * F      JCP  Peters, Jools    23/09/2020 ",,,,,,,,2.50,,325.00,,,,,,,,,,,,
Read options report and meeting with Sulo Lars Simone,,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    30/09/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Meeting with Sulo and review of documentation,,,,,,,,,,,,,,,,,,,,,,
Total for JCP,,,,,,,,4.50,,585.00,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    16/09/2020 ",,,,,,,,.50,,170.00,,,,,,,,,,,,
Catch up with Hunter (Motts) and follow up with SImone,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    16/09/2020 ",,,,,,,,1.00,,340.00,,,,,,,,,,,,
Review of variations and explanations to Hunter.,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    23/09/2020 ",,,,,,,,1.00,,340.00,,,,,,,,,,,,
Briefing with Simone and Lars; email to Hunter.,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    23/09/2020 ",,,,,,,,1.00,,340.00,,,,,,,,,,,,
Email information to Hunter.,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    30/09/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Planning session,,,,,,,,,,,,,,,,,,,,,,
Total for SQS,,,,,,,,5.00,,"1,700.00",,,,,,,,,,,,
Total for Engineering ,,,,,,,,14.00,,"3,522.50",,,,,,,,,,,,
PROJM Project Managment,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    02/09/2020 ",,,,,,,,1.00,,230.00,,,,,,,,,,,,
Motts called to say Geo scope may be removed... Handover to Sulo,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    16/09/2020 ",,,,,,,,3.00,,690.00,,,,,,,,,,,,
"Getting job in good shape (resourcing, FIP, current actions etc), and handover to Sulo.",,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    23/09/2020 ",,,,,,,,1.00,,230.00,,,,,,,,,,,,
Handover,,,,,,,,,,,,,,,,,,,,,,
Total for SXF,,,,,,,,5.00,,"1,150.00",,,,,,,,,,,,
Total for Project Managment ,,,,,,,,5.00,,"1,150.00",,,,,,,,,,,,
PRPSL Proposal,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    05/08/2020 ",,,,,,,,11.00,,"2,530.00",,,,,,,,,,,,
Proposal for detailed design,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    12/08/2020 ",,,,,,,,1.50,,345.00,,,,,,,,,,,,
Updated proposal as requested by Motts,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    19/08/2020 ",,,,,,,,.50,,115.00,,,,,,,,,,,,
Trying to get the job moving forward.,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    16/09/2020 ",,,,,,,,2.00,,460.00,,,,,,,,,,,,
Adding explanation to support Holmes Fee Proposal,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    16/09/2020 ",,,,,,,,.50,,115.00,,,,,,,,,,,,
Discussions with Motts on Holmes proposal,,,,,,,,,,,,,,,,,,,,,,
" * F      SXF  French, Simone    23/09/2020 ",,,,,,,,1.00,,230.00,,,,,,,,,,,,
Providing further commentary on proposal,,,,,,,,,,,,,,,,,,,,,,
Total for SXF,,,,,,,,16.50,,"3,795.00",,,,,,,,,,,,
Total for Proposal ,,,,,,,,16.50,,"3,795.00",,,,,,,,,,,,
Total for Labour,,,,,,,,35.50,,"8,467.50",,,,,,,,,,,,
Total for 001,,,,,,,,35.50,,"8,467.50",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Financial Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Fee:,,
